Drg,data_1,data_2,data_3,data_4,data_5,mean_result
Drg0,0.9096774193548387,0.8300492610837438,0.8969298245614036,0.863235294117647,0.7549603174603174,0.8509704233155901
Drg2,0.6985994397759103,0.5344578313253012,0.7253487253487254,0.5966117216117216,0.5381140598531903,0.6186263555829697
Drg3,0.8099415204678363,0.7719298245614036,0.75,0.6160714285714286,0.6918714555765595,0.7279628458354456
Drg50,0.6931341719077568,0.6677789363920751,0.7478204010462074,0.6229601518026565,0.7277951933124346,0.691897770892226
Drg52,0.6824776785714286,0.7359307359307359,0.8198653198653199,0.7321428571428572,0.7433155080213905,0.7427464199063465
Drg66,0.8205128205128205,0.85,0.9362244897959183,0.8602941176470589,0.8840579710144927,0.870217879794058
Drg67,0.8352758352758354,0.7355140186915888,0.7936842105263158,0.7980769230769231,0.8376623376623377,0.8000426650466002
Drg68,0.7173913043478262,0.841628959276018,0.7591324200913242,0.807631160572337,0.8082561728395061,0.7868080034254022
Drg69,0.7565543071161048,0.7728395061728395,0.8598784194528876,0.7444444444444445,0.815068493150685,0.7897570340673923
Drg84,0.49161831076724694,0.6932129173508484,0.5735111662531017,0.6056616194865042,0.634640522875817,0.5997289073467037
Drg96,0.593803786574871,0.8379310344827586,0.47152126892573903,0.6066308243727598,0.7772988505747126,0.6574371529861682
Drg97,0.6920289855072465,0.749348675640469,0.7252209595959597,0.6696685428392745,0.6882404951370468,0.7049015317439993
Drg178,0.7806122448979592,0.7757575757575758,0.7338362068965518,0.6818181818181818,0.6787234042553192,0.7301495227251176
Drg179,0.7789566755083996,0.8563849943160289,0.8292383292383292,0.8727514990006662,0.8164705882352942,0.8307604172597436
Drg256,0.7989130434782609,0.7431059506531205,0.649673202614379,0.5707692307692308,0.6770833333333334,0.6879089521696649
Drg259,0.8413479052823315,0.8572139303482587,0.826888874250708,0.8729530201342282,0.8335436648157496,0.8463894789662552
Drg261,0.7589285714285714,0.7036346691519105,0.6277873070325901,0.7386039886039886,0.6342894393741851,0.6926487951182491
Drg262,0.6776315789473685,0.48989898989898994,0.6885369532428356,0.6828780812791473,0.7050997782705101,0.6488090763277702
Drg263,0.7254804834555181,0.6193843193843194,0.6471098634681638,0.7216052049711541,0.7089917017164944,0.68451431459913
Drg309,0.6344086021505376,0.7155612244897959,0.548,0.7012987012987013,0.7476780185758514,0.6693893093029774
